what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819393883
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.newWizard",1274819393899
started,bundle,org.eclipse.jdt.core,3.5.1.v_972_R35x,"org.eclipse.jdt.core",1274819394367
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1274819394491
started,bundle,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui",1274819394491
activated,view,org.eclipse.php.ui,2.1.1.v20090914-1400,"org.eclipse.php.ui.explorer",1274819394944
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819412353
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819516733
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819522583
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819527669
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819558198
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819569648
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819571271
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819572316
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819572378
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1274819572628
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090610-1638,"org.eclipse.dltk.testing",1274819572628
stopped,bundle,org.eclipse.dltk.debug.ui,1.0.1.v20090910-1601,"org.eclipse.dltk.debug.ui",1274819572628
stopped,bundle,org.eclipse.dltk.formatter,1.0.1.v20090903-2153,"org.eclipse.dltk.formatter",1274819572628
stopped,bundle,org.eclipse.dltk.rse.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.rse.ui",1274819572628
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.externalchecker",1274819572628
stopped,bundle,org.eclipse.dltk.validators.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.ui",1274819572628
stopped,bundle,org.zend.php.debug.debugger,5.2.26.v20090817,"org.zend.php.debug.debugger",1274819572628
stopped,bundle,org.eclipse.php.server.ui,2.1.1.v20090707-1108,"org.eclipse.php.server.ui",1274819572628
stopped,bundle,org.eclipse.php.debug.ui,2.1.1.v20090714-1338,"org.eclipse.php.debug.ui",1274819572628
