what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1274819218492
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1274819218492
java.vm.version,sysinfo,,,"11.0-b15",1274819218492
started,bundle,org.eclipse.dltk.rse.core,1.0.0.v20090613-1432,"org.eclipse.dltk.rse.core",1274819221784
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819221815
started,bundle,org.eclipse.rse.services,3.1.1.v200909160005,"org.eclipse.rse.services",1274819221831
started,bundle,org.eclipse.rse.core,3.1.1.v200909160005,"org.eclipse.rse.core",1274819221846
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819222049
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819222174
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819277289
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1274819277741
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819286976
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819293154
started,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1274819296009
opened,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1274819296133
activated,view,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1274819296196
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1274819297085
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819304292
started,bundle,org.eclipse.rse.ui,3.1.1.v200909160005,"org.eclipse.rse.ui",1274819349017
started,bundle,org.eclipse.dltk.rse.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.rse.ui",1274819349017
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1274819349236
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1274819349236
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1274819349251
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819363993
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1274819364430
